NOMBRE_CONJUNTO;TIPO_BIEN;PRECIO;LOCALIZACIÓN;FECHA_PUBLICACIÓN;ÁREA m²;NUM_HABITACIONES;NOMBRE_PROYECTO
Hermosas Casas A Estrenar Conjunto Bricanto Tumbaco;Casa; 145000;Tumbaco, Valle Tumbaco;13/marzo/2020;;;
Casa De Venta Oportunidad Al Norte De Quito - Calderon;Casa; 198000;Calderón, Norte De Quito;13/marzo/2020;;;
Puembo, Hermosa Casa En Conjunto Privado. Por Estrenar;Casa; 140000;Puembo, Valle Tumbaco;13/marzo/2020;;;
Mariano Pozo 56;Departamentos; 130000
            $80 alicuota;Ponceano, Norte De Quito;31/marzo/2020;;;
Casa En Venta, Cumbayá;Casa; 1650000;Cumbaya, Valle Tumbaco;16/marzo/2020;;;
Departamentos Venta;Departamentos; 49900;Calderón, Norte De Quito;16/marzo/2020;;;
República De El Salvador 222;Departamentos; 118000
            $80 alicuota;La Carolina, Iñaquito, Centro Norte;10/diciembre/2019;;;
Casa Venta;Casa; 115000
            $60 alicuota;El Condado, Norte De Quito;22/febrero/2020;;;
Departamento En Venta, Sector Monteserrín, 184 Mts 2;Departamentos; 205000;Monteserrin, Jipijapa, Centro Norte;03/abril/2020;;;
Departamento De 3 Dormitorios En Colinas Del Pichincha;Departamentos; 260000;Rumipamba, Centro Norte;06/abril/2020;436;3;
Venta Departamento, Centro Norte, Sector Udla Granados;Departamentos; 75000;La Argelia, Sur De Quito;27/marzo/2020;;;
Amplia Suite De Venta En Bosmediano;Departamentos; 88000;Bellavista, Iñaquito, Centro Norte;13/marzo/2020;;;
Vendo Exclusivo Penthouse En Suiza Y Eloy Alfaro;Departamentos; 330000;Iñaquito, Centro Norte;05/abril/2020;;;
Departamento De Venta, Sector Monteserrín, Norte De Quito, La Udla, Barato, Vendo;Departamentos; 149000;Jipijapa, Centro Norte;08/abril/2020;;;
C/ Carcelén Bajo! Hermoso Departamento De 92m2 En Venta!! A Estrenar!!;Departamentos; 90000;Carcelen, Norte De Quito;07/abril/2020;;;
Casa Cerca De La Embajada Americana Urb. Orquideas Del Norte;Casa; 330000;San Isidro Del Inca, Centro Norte;07/abril/2020;;;
Excelente Casa En Venta Sector Ponceano Norte De Quito En La Mercedes Gonzalez Y Alberto Einstein;Casa; 240000;Ponceano, Norte De Quito;27/marzo/2020;;;
Vendo Departamento. Vista Hermosa. Cotocollao;Departamentos; 120000;Cotocollao, Norte De Quito;06/abril/2020;;;
Venta El Bosque Carvajal Y Brasil,Oportunidad Casa En Venta;Casa; 480000;Rumipamba, Centro Norte;14/marzo/2020;;;
Cumbaya Dos Departamentos A Estrenar - Sector Urbanización Auqui Chico;Departamentos; 588587;Cumbaya, Valle Tumbaco;04/abril/2020;;;
Departamento En Venta, Ponceano Precio Reducido! - Wasi;Departamentos; 95000;Ponceano, Norte De Quito;27/marzo/2020;;;
402 Quito Tenis. Vendo Departamento 75 Metros De 2 Dormitorios Con Balcón. A Estrenar;Departamentos; 140000;Rumipamba, Centro Norte;12/04/2020;;;
Departamento De Venta, Norte De Quito, Colegio Einstein,;Departamentos; 110000;La Concepcion, Concepción, Centro Norte;03/abril/2020;;;
Departamento De Venta En El Quito Tenis;Departamentos; 260000;Rumipamba, Centro Norte;03/abril/2020;;;
Vendo Casa 175 M² Conjunto Privado Cerca Al Colegio Sek;Casa; 160000;San Isidro Del Inca, Centro Norte;01/abril/2020;;;
Oportunidad!!! Hermosa Quinta Con Casa Y Construcción Adicional, A 2 Min Del Parque Metropolitano De La Armenia;Casa; 480000;Conocoto, Valle Los Chillos;02/abril/2020;;;
Espectacular Casa De Lujo - Diseño Único - Automatizada. Tanda - Cumbaya;Casa; 850000;Nayon - Tanda, Valle Tumbaco;01/abril/2020;;;
Quito Tenis Vendo Departamento Con Terraza Vista;Departamentos; 450000;Rumipamba, Centro Norte;11/abril/2020;;;
Vendo Espectacular Departamento Norte De Quito;Departamentos; 148000;San Isidro Del Inca, Centro Norte;31/marzo/2020;;;
Casa De Venta En Amaguaña, Conjunto Privado;Casa; 170000;Amaguaña, Sur De Quito;16/marzo/2020;;;
Venta Hermoso Departamento 2 Dormitorios. Sector El Batan / Norte De Quito;Departamentos; 120000;Iñaquito, Centro Norte;22/marzo/2020;;;
Espectacular Casa De Venta En Tumbaco;Casa; 230000;Tumbaco, Valle Tumbaco;30/marzo/2020;;;
Venta Casa Santa Lucía 208 Mts. 3 Dormitorios;Casa; 135000;Kennedy, Centro Norte;30/marzo/2020;;;
Moderna Y Bonita Casa Nueva - La Viña;Casa; 600000;Tumbaco, Valle Tumbaco;19/marzo/2020;;;
Casa Conjunto La Cascada, Iñaquito Alto, Usd269.000;Casa; 269000;Quito Tenis, Centro Norte;17/marzo/2020;;;
Vendo Casa A Estrenar El Calderon;Casa; 86900;Calderón, Norte De Quito;16/marzo/2020;;;
Venta Casa Oportunidad La Armenia - Los Chillos;Casa; 168000;Conocoto, Valle Los Chillos;29/marzo/2020;;;
Venta De Departamento, Dos Habitaciones. Sector La Carolina;Departamentos; 100000;Iñaquito, Centro Norte;29/marzo/2020;;;
Vendo Hermosos Departamentos Por Estrenar En Edificio , Acabados De Lujo Sector El Inca;Departamentos; 137000;Kennedy, Centro Norte;28/marzo/2020;;;
Casa De Venta Tumbaco 4 Habitaciones Jardín;Casa; 300000;Tumbaco, Valle Tumbaco;31/marzo/2020;;;
Casa En Venta En La Armenia Ii, Puente 8;Casa; 179000;Conocoto, Valle Los Chillos;19/marzo/2020;;;
Venta De Casa Independiente Y Con Terreno, En Urbanización Cerrada, 4 Alcobas Y 4 Estacionamientos;Casa; 270000;Quito;26/marzo/2020;;;
Ganga! Vendo Casa Quito Tenis $220.000;Casa; 220000;Rumipamba, Centro Norte;19/marzo/2020;;;
Casa De Venta En Quito En Conocoto Valle De Los Chillos Cod: V066;Casa; 189000;Conocoto, Valle Los Chillos;25/marzo/2020;;;
Venta O Renta Departamento 3 Hab 2 Baños (90 M²) 1 Parqueadero Ponceano Alto.;Departamentos; 109000;Ponceano, Norte De Quito;24/marzo/2020;;;
Venta De Penthouse Con Línea Blanca Por Estrenar;Departamentos; 348000;El Condado, Norte De Quito;23/marzo/2020;;;
Venta Departamento En Ponceano;Departamentos; 142000;Ponceano, Norte De Quito;23/marzo/2020;;;
Venta Casa Independiente Carapungo Frente Municipio Calderón, Gran Aki;Casa; 89000;Calderón, Norte De Quito;23/marzo/2020;;;
Departamento En Venta Quito/ Llano Grande/ Calderón 100% Biess;Departamentos; 75900;Calderón, Norte De Quito;22/marzo/2020;;;
Casa En Venta En San Isidro Del Inca Con Jardín Pergola;Casa; 128000;San Isidro Del Inca, Centro Norte;09/abril/2020;;;
Hermosa Casa De Venta Norte De Quito Independiente Sector Mastodontes, 272 M2 Habitables. 472 M2 Totales.;Casa; 199500;Carcelen, Norte De Quito;05/abril/2020;;;
Vendo Suite/ Por Estrenar / Sector La República;Departamentos; 79900;Rumipamba, Centro Norte;07/abril/2020;;;
Suite En Venta Junto Al Swiss Hotel;Departamentos; 80000;Mariscal Sucre, Centro Norte;04/abril/2020;;;
Venta Suite A Estrenar Amoblada Sector La Carolina;Departamentos; 114200;Iñaquito, Centro Norte;27/marzo/2020;;;
Se Vende Casa Pusuqui;Casa; 105000;Pomasqui, Norte De Quito;20/marzo/2020;;;
En Venta Casa Tres Pisos En Conjunto Privado Alexina “2”-Carcelen-Carretas;Casa; 115000;Carcelen, Norte De Quito;19/marzo/2020;;;
Iñaquito Alto Ultimo Y Lujoso Departamento A Estrenar;Departamentos; 125000;Iñaquito Alto, Rumipamba, Centro Norte;11/abril/2020;;;
La Carolina Departamento De Venta;Departamentos; 159900;San Isidro Del Inca, Centro Norte;07/abril/2020;;;
Casa Estilo Rustico Remodelada Ponceano;Casa; 198500;Ponceano, Norte De Quito;18/marzo/2020;;;
Departamento De Venta Panamericana Norte, Llano Grande, Norte De Quito;Departamentos; 68000;Calderón, Norte De Quito;15/marzo/2020;;;
Venta Casa Rentera Soleada Bien Ubicada Zona Comercial Residencial;Casa; 300000;Belisario Quevedo, Centro Norte;15/marzo/2020;;;
Cxc Venta Departamento, Carcelen, Norte De Quito, Exp. 2430;Departamentos; 74000;Belisario Quevedo, Centro Norte;14/marzo/2020;;;
Venta Departamento Amazonas Y El Inca;Departamentos; 110000;La Carolina, Iñaquito, Centro Norte;08/abril/2020;;;
Suites En La Carolina Edificio Epiq Sd5;Departamentos; 140659;Iñaquito, Centro Norte;01/abril/2020;;;
Vendo Departamento 3 Dormitorios - Amagasi Del Inca;Departamentos; 69500;San Isidro Del Inca, Centro Norte;09/abril/2020;;;
Venta Departamento, Sector Laureles, Cerca De La Udla, Norte De Quito, Monteserrin, Rio Coca, Quito, Ecuador;Departamentos; 87000;Jipijapa, Centro Norte;11/abril/2020;;;
Casa En Conjunto Sector Parque De Los Recuerdos 110 M²;Casa; 80000;Ponceano, Norte De Quito;13/marzo/2020;;;
Granda Centeno, Casa De Venta, Centro Norte De Quito;Casa; 355000;Quito Tenis, Centro Norte;24/marzo/2020;;;
Bajo De Precio. Centro. Mojas. Urb. Jardin Del Valle.;Casa; 350000;Puengasí, Centro Colonial;27/marzo/2020;;;
Casas En Venta En La Armenia, Con Diseño Innovador Y Acabado De Primera Calidad;Casa; 95000;Conocoto, Valle Los Chillos;08/abril/2020;;;
En Venta Departamento 70m2 Mitad Del Mundo;Departamentos; 53000;San Antonio De Pichincha, Norte De Quito;09/abril/2020;;;
Venta De Oportunidad - Quinta De Venta, 4 Dormitorios De Lujo, Sector Yanahuaico, Vía Amaguaña;Casa; 580000;Amaguaña, Sur De Quito;13/marzo/2020;;;
Casa Dos Hemisferios, Pusuqui, Con Parqueadero Incorporado, 2 Pisos, $87.000, A Solo 5 Minutos Del Condado Shopping;Casa; 87000;Pomasqui, Norte De Quito;08/abril/2020;;;
Me/Sector Quito Tenis Lindo Departamento De 02 Dormitorios En Venta!!;Departamentos; 130000;Rumipamba, Centro Norte;03/abril/2020;;;
Departamento Duplex De Venta, Santa Lucia, Cumbaya;Departamentos; 195000;Cumbaya, Valle Tumbaco;08/abril/2020;;;
Suite En Venta Localizada Por República;Departamentos; 79000;El Batan, Iñaquito, Centro Norte;19/marzo/2020;;;
En Venta, Departamento, Sector Gonzalez Suarez, Calle Humboldt;Departamentos; 185000;Iñaquito, Centro Norte;08/abril/2020;;;
Oportunidad Venta Departamento Duplex San Blas Centro De Quito Remodelado;Departamentos; 60000;Centro De Quito, Centro Colonial;07/abril/2020;;;
Casa De 108 M2 De Venta, Sector Santa Isabel, Conocoto;Casa; 65000;Conocoto, Valle Los Chillos;07/abril/2020;;;
Casas En Venta En Calderón;Casa; 81500;Calderón, Norte De Quito;07/abril/2020;;;
Departamento 2 Dorm. Sector El Condado De Venta Por Estrenar;Departamentos; 64000;El Condado, Norte De Quito;07/abril/2020;;;
Quinta De Venta En Guayllabamba;Casa; 395000;Guayllabamba, Norte De Quito;07/abril/2020;;;
Venta Casas Mitad Del Mundo 100% Biess;Casa; 100000;San Antonio De Pichincha, Norte De Quito;07/abril/2020;;;
Venta De Casas A Estrenar En Calderón De 108 Metros 87.000usd;Casa; 87000;Calderón, Norte De Quito;07/abril/2020;;;
Casa De Venta En Calderon, Vía Marianitas, Llano Grande, Chico,Carapungo, Ism Calderon;Casa; 72000;Calderón, Norte De Quito;06/abril/2020;;;
Vendo Departamento 2 Dormitorios, 90 M2, República Del Salvador, Parque La Carolina;Departamentos; 123000;Iñaquito, Centro Norte;24/marzo/2020;;;
Venta Departamento En Tumbaco Cerca De Av. Interoceanica Y Ruta Viva, Sector Ruta Viva;Departamentos; 140000;Tumbaco, Valle Tumbaco;06/abril/2020;;;
Casa San José Del Valle De Los Chillos;Casa; 210000;San Juan, Centro Colonial;04/abril/2020;;;
Vendo Casa En Conjunto En San Juan De Cumbayá;Casa; 138000;Cumbaya, Valle Tumbaco;04/abril/2020;;;
Venta Departamento Duplex, Calle Bossano, Tras El Cne;Departamentos; 138000;Bellavista, Iñaquito, Centro Norte;03/abril/2020;;;
Casa Rentera De Venta , La Recoleta Excelente Inversión - Centro De Quito;Casa; 250000;Amaguaña, Sur De Quito;13/marzo/2020;;;
Vendo Hermosa Suite Por Estrenar Los Laureles - Monteserrín;Departamentos; 79000;Jipijapa, Centro Norte;01/abril/2020;;;
Casa En Venta A Estrenar - San Juan De Calderón - Crédito Vip;Casa; 49637;Calderón, Norte De Quito;27/marzo/2020;;;
Venta Casa, Sector Quitumbe;Casa; 63000;Quitumbe, Sur De Quito;19/marzo/2020;;;
Hermosa Suite En Venta Balcón, Piscina, La Carolina, Centro Norte De Quito;Departamentos; 130000;Iñaquito, Centro Norte;01/abril/2020;;;
Casa De Venta En Tumbaco;Casa; 150000;Tumbaco, Valle Tumbaco;20/marzo/2020;;;
Venta Departamento Urb. El Condado;Departamentos; 88900;El Condado, Norte De Quito;13/marzo/2020;;;
Vendo Lindo Departamento, El Bosque, 3 Dormitorios, 145000usd;Departamentos; 145000;Cochapamba, Centro Norte;17/marzo/2020;;;
En Venta Hermosa Y Lujosa Suite Atahualpa E Iñaquito Sector Carolina (Lado Amazonas). Vgkr013;Departamentos; 86000;La Carolina, Iñaquito, Centro Norte;16/marzo/2020;;;
Casa En Venta, Sector San Jose De Jarrín, Cotocollao, Cerca Al Colegio Mena Del Hierro, Norte De Quito;Casa; 94000;Cotocollao, Norte De Quito;31/marzo/2020;;;
Vendo Departamento De Dos Dormitorios A Estrenar En La Av. 6 De Diciembre Y Noruega (Centro Norte De Quito);Departamentos; 135000;Iñaquito, Centro Norte;27/marzo/2020;;;
Venta Casa Pomasqui Conjunto Sirah;Casa; 82500;Pomasqui, Norte De Quito;29/marzo/2020;;;
Oportunidad Hermosa Propiedad De Venta Sector San Fernando;Casa; 350000;Cochapamba, Centro Norte;28/marzo/2020;;;
Venta De Casa Con 2 Locales Comerciales Centro Historico.;Casa; 450000;Centro De Quito, Centro Colonial;29/marzo/2020;;;
Vendo Departamento En Condominios Jardines De California;Departamentos; 48000;Kennedy, Centro Norte;16/marzo/2020;;;
Hermosa Casa A Estrenar La Armenia Puente 3, Espectacular Conjunto Privado 140 Mtrs;Casa; 135000;Conocoto, Valle Los Chillos;20/marzo/2020;;;
Venta Departamento Tres Habitaciones Nuevo A Estrenar Amplio Cerca Centro Comercial Plaza Real “Calderón” $75.000;Departamentos; 75000;Calderón, Norte De Quito;27/marzo/2020;;;
Vendo Hermosa Casa En Calderón Cod 120-5;Casa; 71990;Calderón, Norte De Quito;27/marzo/2020;;;
Departamento En Calderón - Sector Colegio Del Milenio - Si Aplica A Crèdito Vip - Si Venezolanos, Extranjeros Y Nacional;Departamentos; 43990;Calderón, Norte De Quito;26/marzo/2020;;;
Casa Nueva En Venta Al Sur De Quito Sector Martha Bucaram;Casa; 91000;La Ecuatoriana, Sur De Quito;26/marzo/2020;;;
Departamento En Venta. Sector La Floresta. Negociable.;Departamentos; 149000;Mariscal Sucre, Centro Norte;24/marzo/2020;;;
Departamento En Venta 3 Dormitorios, Norte De Quito, Avenida Occidental, Antigua Jefatura De Tránsitoo;Departamentos; 48000;Cochapamba, Centro Norte;23/marzo/2020;;;
Be/ Urb El Condado - De Venta Hermosa Y Amplia Casa;Casa; 245000;Iñaquito, Centro Norte;23/marzo/2020;;;
Loft Venta Cumbaya;Departamentos; 149000;Cumbaya, Valle Tumbaco;21/marzo/2020;;;
Vendo Casa Rentera 413m Con 2 Dptos Dorado;Casa; 180000;Itchimbía, Centro Colonial;22/marzo/2020;;;
Venta Lindo Departamento 2 Dorm Altos De La Armenia 1 - Conocoto;Departamentos; 159000;Conocoto, Valle Los Chillos;16/marzo/2020;;;
Vendo Departamento Con Local - San Carlos;Departamentos; 68000;Cotocollao, Norte De Quito;20/marzo/2020;;;
Venta Departamentos Por Estrenar - 3 Habitaciones - 23 De Junio;Departamentos; 80000;Cotocollao, Norte De Quito;19/marzo/2020;;;
Apartamento De Venta Conjunto Roca Azul, Santa Lucia;Departamentos; 115000;Comité Del Pueblo, Centro Norte;19/marzo/2020;;;
Casa De Venta Sector San Antonio;Casa; 59990;San Antonio De Pichincha, Norte De Quito;19/marzo/2020;;;
Exclusiva Casa Lomas De Cumbaya 564 Mts Totalmente Remodelada;Casa; 517000;Tumbaco, Valle Tumbaco;18/marzo/2020;;;
Departamento En Venta Por Estrenar Ponceano Bajo, Norte De Quito;Departamentos; 89500;Ponceano, Norte De Quito;17/marzo/2020;;;
Venta Departamento 3 Habitaciones,Sector Colegios Sek, Martin Cerere;Departamentos; 79000;Cumbaya, Valle Tumbaco;16/marzo/2020;;;
Venta Casa En Conjunto 90m2 Sector Cotocollao;Casa; 110000;Cotocollao, Norte De Quito;16/marzo/2020;;;
Hermosa Casa Inteligente De Venta En Capelo;Casa; 265000;Conocoto, Valle Los Chillos;16/marzo/2020;;;
Venta De Casa En Nayón, Calle Tacuri, Norte De Quito;Casa; 399000;Nayon - Tanda, Valle Tumbaco;13/marzo/2020;;;
Departamento Penthouse En Venta, Quito Tenis De Oportunidad;Departamentos; 267000;Rumipamba, Centro Norte;13/marzo/2020;;;
Venta Departamento Quicentro Shopping Sector Centro Norte;Departamentos; 196709;Iñaquito, Centro Norte;07/abril/2020;;;
Av. República Del Salvador 123;Departamentos; 152000
            $210 alicuota;La Carolina, Iñaquito, Centro Norte;06/noviembre/2019;;;
Departamento A La Venta, Urb.El Condado, 123 Mts 2;Departamentos; 140000;Cotocollao, Norte De Quito;03/abril/2020;;;
Hermoso Departamento En Quito Tenis, Con Balcón, 3 Dormitorios;Departamentos; 170000;Rumipamba, Centro Norte;06/abril/2020;138;3;
Casa Venta, Conjunto La Campiña, Entre Escu. Militar Y Escu De Policía;Casa; 240000;El Condado, Norte De Quito;27/marzo/2020;;;
Departamento En Granda Centeno, 3 Dormitorios;Departamentos; 199000;Granda Centeno, Rumipamba, Centro Norte;13/marzo/2020;;;
Cumbayá La Primavera Linda Casa Independiente En Venta 3 Dormitorios;Casa; 285000;Cumbaya, Valle Tumbaco;08/abril/2020;;;
Vendo Exclusivo Departamento En República De El Salvador;Departamentos; 375000;Iñaquito, Centro Norte;22/marzo/2020;;;
Hermoso Edificio De 3 Dormitorios Shyris;Departamentos; 196900;Iñaquito, Centro Norte;08/abril/2020;;;
Venta Casa Sector Guamani Sur De Quito;Casa; 55000;Guamaní, Sur De Quito;10/abril/2020;;;
C/ El Bosque, Suite De 60m2 En Venta, A Una Cuadra Del CC El Bosque;Departamentos; 97000;Cochapamba, Centro Norte;07/abril/2020;;;
Casa En Carcelen, Camino De Los Eucaliptos;Casa; 96000;Tumbaco, Valle Tumbaco;07/abril/2020;;;
Excelente Suite En Venta En Centro Norte De Quito Granda Centeno;Departamentos; 92000;Granda Centeno, Rumipamba, Centro Norte;27/marzo/2020;;;
Casa De Venta Por Estrenar Sector Urabá 3 Dormitorios;Casa; 117000;Comité Del Pueblo, Centro Norte;06/abril/2020;;;
Venta Departamentos Urb. El Condado 2 Y 3 Dormitorios;Departamentos; 249000;Iñaquito, Centro Norte;01/abril/2020;;;
Cumbaya Casa De Venta En Urbanizacion Privada;Casa; 1150000;Cumbaya, Valle Tumbaco;04/abril/2020;;;
Venta Suite Sector La Carolina CCI $93,000 - Wasi;Casa; 93000;Iñaquito, Centro Norte;26/marzo/2020;;;
406 Quito Tenis. Vendo Departamento 82,41 M 2 Dormitorios. A Estrenar;Departamentos; 148000;Rumipamba, Centro Norte;12/04/2020;;;
Departamento De 3 Dormitorios, Embajada Americana, Centro Norte;Departamentos; 168000;Kennedy, Centro Norte;24/marzo/2020;;;
Departamento De Venta En Ponceano, Cerca Supermaxi;Departamentos; 160000;Ponceano, Norte De Quito;03/abril/2020;;;
Vendo Casa De 210 M² Conjunto Privado Santa Lucia;Casa; 224000;Kennedy, Centro Norte;01/abril/2020;;;
Amplio Terreno Con Casa De Venta Sector San José De Cutuglagua;Casa; 45500;Guamaní, Sur De Quito;17/marzo/2020;;;
Modernas Casas En Conjunto Privado Cumbayá – Tumbaco. Sector Ventura Mall;Casa; 217000;Tumbaco, Valle Tumbaco;01/abril/2020;;;
Batan Cerca A La Udla Vendo Departamento Con Linda Vista;Departamentos; 260000;El Batan, Iñaquito, Centro Norte;11/abril/2020;;;
Venta De Hermosa Casa Sector Amagasí Del Inca, Embajada Americana;Casa; 138000;San Isidro Del Inca, Centro Norte;31/marzo/2020;;;
Venta De Casa De Tres Pisos Sector – Puente 3;Casa; 131700;Conocoto, Valle Los Chillos;16/marzo/2020;;;
Venta Hermosa Suite Duplex En Edificio De Lujo. Av República De El Salvador / Norte De Quito;Departamentos; 120000;Iñaquito, Centro Norte;31/marzo/2020;;;
Se Vende Cálida Y Luminosa Suite;Departamentos; 67250;Cotocollao, Norte De Quito;30/marzo/2020;;;
Casa De Venta Sector San Juan Bajo De Cumbaya;Casa; 279900;Cumbaya, Valle Tumbaco;30/marzo/2020;;;
Venta Bonita Casa - Lumbisí;Casa; 300000;Guangopolo, Valle Los Chillos;13/marzo/2020;;;
Casa Remodelada 3 Dorm. 2 Parq. Sector Solca;Casa; 137000;Kennedy, Centro Norte;17/marzo/2020;;;
Venta De Departamento En El Quito Tenis, Norte De Quito;Departamentos; 309000;Rumipamba, Centro Norte;16/marzo/2020;;;
Venta Departamento Sector Estadio Olímpico – 93 M2;Departamentos; 110000;Iñaquito, Centro Norte;29/marzo/2020;;;
Venta Amplia Casa Espe 3 Dormitorios Valle Quito Sangolqui;Casa; 87000;Quito;28/marzo/2020;;;
Quito Tenis Bajo Departamento 3 Dormitorios;Departamentos; 126000;Rumipamba, Centro Norte;31/marzo/2020;;;
Departamento En Venta Sector El Batan Cerca Al Estadio Olimpico Y Al Parque Metropolitano;Departamentos; 158000;Iñaquito, Centro Norte;19/marzo/2020;;;
Vendo Propiedad Independiente, Esquinera, Mirasierra, 2.116m2 De Terreno400000;Casa; 420000;Alangasí, Valle Los Chillos;23/marzo/2020;;;
Vendo Departamento Quiteño Libre 285000;Departamentos; 285000;Bellavista, Iñaquito, Centro Norte;19/marzo/2020;;;
Departamento De Venta En Quito En El Pinar Alto La Occidental Cod: V060;Departamentos; 93000;El Pinar, Concepción, Centro Norte;25/marzo/2020;;;
Venta O Renta Departamento 3 Hab 4 Baños (141 M²) 2 Parqueaderos Av González Suárez;Departamentos; 135000;Iñaquito, Centro Norte;24/marzo/2020;;;
Casa De Venta En Cumbayá;Casa; 1200000;Cumbaya, Valle Tumbaco;23/marzo/2020;;;
Venta Casa Miravalle 4, Cumbaya;Casa; 298000;Miravalle, Nayon - Tanda, Valle Tumbaco;23/marzo/2020;;;
Venta De Casa En La Argelia, Sur De Quito, Oriental, Av. Simon Bolivar;Casa; 105000;La Argelia, Sur De Quito;23/marzo/2020;;;
Casa En Venta Quito/ Carcelen/ Norte De Quito 90% Biess;Casa; 134990;Carcelen, Norte De Quito;22/marzo/2020;;;
Suite De Venta Cumbaya Con Jardin Centro Comercial Scala;Departamentos; 145000;Cumbaya, Valle Tumbaco;09/abril/2020;;;
Hermosa Casa De Venta Norte De Quito Independiente Sector Mastodontes, 272 M2 Habitables. 472 M2 Totales.;Casa; 199500;Carcelen, Norte De Quito;05/abril/2020;;;
Vendo Suite Por Estrenar/ Sector La Carolina;Departamentos; 95900;Iñaquito, Centro Norte;07/abril/2020;;;
Casa De Venta En Cumbaya;Casa; 149000;Cumbaya, Valle Tumbaco;04/abril/2020;;;
Venta De Suite, Luminosa A 2 Cuadras De La Universidad Católica, Politécnica Nacional;Departamentos; 107500;Mariscal Sucre, Centro Norte;27/marzo/2020;;;
Casa De 3 Pisos En Venta En Conjunto, En Calderón, Quito.;Casa; 63000;Calderón, Norte De Quito;17/marzo/2020;;;
Occidental Y Flavio Alfaro Hermosos Departmentos A Estrenar;Departamentos; 75000;Cochapamba, Centro Norte;11/abril/2020;;;
El Bosque Departamento De Venta;Departamentos; 135000;Cochapamba, Centro Norte;07/abril/2020;;;
En Venta Suite República Del Salvador;Departamentos; 109000;Iñaquito, Centro Norte;18/marzo/2020;;;
Cxc Venta Departamento, La Bretaña, Sur De Quito, Exp. 3449;Departamentos; 46000;San Juan, Centro Colonial;14/marzo/2020;;;
Venta Departamento, Sector Pinar Bajo;Departamentos; 70000;Concepción, Centro Norte;01/abril/2020;;;
Venta Departamento Whymper 2 Dormitorios;Departamentos; 125000;Iñaquito, Centro Norte;11/abril/2020;;;
El Condado, Casa, 200 M2, 4 Habitaciones, 2.5 Baños, 2 Parqueaderos;Departamentos; 160000;El Condado, Norte De Quito;10/abril/2020;;;
Se Vende Departamento, 230m² Remodelada, Urb. Gabriela Marina, Quito;Departamentos; 286000;Iñaquito, Centro Norte;10/abril/2020;;;
Vendo Centro Norte. Batan. Por Megamaxi;Departamentos; 160000;Iñaquito, Centro Norte;24/marzo/2020;;;
Venta Departamento Con Vista Panorámica Y Acabados Modernos;Departamentos; 78000;El Condado, Norte De Quito;08/abril/2020;;;
En Venta Hermosa Casa Vip - Mitad Del Mundo;Casa; 70000;San Antonio De Pichincha, Norte De Quito;23/marzo/2020;;;
Departamento De Venta, 3 Dormitorios, Sector Solca, Jardines De Amagasi, Norte De Quito;Departamentos; 210000;San Isidro Del Inca, Centro Norte;13/marzo/2020;;;
Casa Kartodromo Mitad Del Mundo,Esquinera E Independiente, 112m2 De Construcción $105.000 Cerca A Supermercados, Upc;Casa; 105000;San Antonio De Pichincha, Norte De Quito;08/abril/2020;;;
Me/Sector Eloy Alfaro Lindo Departamento En Venta!!;Departamentos; 128000;Iñaquito, Centro Norte;02/abril/2020;;;
En Venta, Departamento, Sector Gonzalez Suarez, Calle Humboldt;Departamentos; 320000;Iñaquito, Centro Norte;08/abril/2020;;;
Oportunidad Venta Departamento Bosmediano Y Carlos Guerrero Carolina;Departamentos; 149000;Bellavista, Iñaquito, Centro Norte;07/abril/2020;;;
Casa De Venta En Conjunto San Patricio De Ushiman. Alangasi, Barrio Jerusalen;Casa; 83000;Alangasí, Valle Los Chillos;07/abril/2020;;;
Departamento 3 Dorm. Sector El Condado De Venta;Departamentos; 75500;El Condado, Norte De Quito;07/abril/2020;;;
Casa Independiente De Venta En La Rumiñahui;Casa; 155000;Kennedy, Centro Norte;07/abril/2020;;;
Vendo Casa Mitad Del Mundo;Casa; 55000;San Antonio De Pichincha, Norte De Quito;06/abril/2020;;;
Venta Departamentos A Estrenar En El Inca Desde Usd 69.000;Departamentos; 69000;Kennedy, Centro Norte;07/abril/2020;;;
Venta Departamento San Camilo, Calderón, Carapungo, Panamerica Norte;Departamentos; 68000;Calderón, Norte De Quito;06/abril/2020;;;
Vendo Casa En Guayllabamba 170 Mts Y 2950 Mts De Terreno;Casa; 165000;Guayllabamba, Norte De Quito;13/marzo/2020;;;
Venta Departamento En El Valle De Tumbaco Cerca De Av. Interoceánica Y Ruta Viva, Sector Ruta Viva;Departamentos; 140000;Tumbaco, Valle Tumbaco;06/abril/2020;;;
Vendo Casa Conjunto Cordillera Norte De Quito;Casa; 128000;Cochapamba, Centro Norte;15/marzo/2020;;;
Venta Departamento Duplex, Sector Los Laureles Edificio Century Plazza;Departamentos; 129000;Jipijapa, Centro Norte;03/abril/2020;;;
Suite A Estrenar En Venta - Av. Orellana - Centro Norte - Quito - Biess - Bancos;Departamentos; 89900;Mariscal Sucre, Centro Norte;24/marzo/2020;;;
Venta Departamento, Sector Universidad Utla;Departamentos; 87000;El Batan, Iñaquito, Centro Norte;19/marzo/2020;;;
Amplia Suite En Venta Piscina Balcón 80 M2 República Del Salvador - La Carolina - Centro Norte De Quito;Departamentos; 132000;Iñaquito, Centro Norte;01/abril/2020;;;
Venta Departamento 3d Qanvas Rep. Del Salvador;Departamentos; 271000;Iñaquito, Centro Norte;19/marzo/2020;;;
