NOMBRE_CONJUNTO;TIPO_BIEN;PRECIO;LOCALIZACIÓN;FECHA_PUBLICACIÓN;ÁREA m²;NUM_HABITACIONES;NOMBRE_PROYECTO
Mont Blanc;Departamentos; 54406;Conocoto, Valle Los Chillos;05/julio/2019;65;2;Proyecto inmobiliario
Estrella X;Departamentos; 87932;El Batan, Iñaquito, Centro Norte;10/febrero/2020;52;1;Proyecto inmobiliario
Ílios;Departamentos; 256289;Cumbaya, Valle Tumbaco;17/enero/2020;155;2;Proyecto inmobiliario
Estrella IX;Departamentos; 157715;Gonzalez Suarez, Iñaquito, Centro Norte;10/febrero/2020;92;2;Proyecto inmobiliario
Arbat;Departamentos; 166553;La Carolina, Iñaquito, Centro Norte;11/febrero/2020;83;2;Proyecto inmobiliario
Artemis;Departamentos; 110000;La Carolina, Iñaquito, Centro Norte;17/octubre/2019;49;1;Proyecto inmobiliario
Portimao;Oficina / Consultorio; 147430;La Carolina, Iñaquito, Centro Norte;16/diciembre/2019;;;Proyecto inmobiliario
Sense;Oficina / Consultorio; 100336;La Carolina, Iñaquito, Centro Norte;14/febrero/2020;;;Proyecto inmobiliario
Vitoria II;Departamentos; 219239;La Carolina, Iñaquito, Centro Norte;02/septiembre/2019;117;3;Proyecto inmobiliario
Zyra;Oficina / Consultorio; 131522;La Carolina, Iñaquito, Centro Norte;15/noviembre/2019;;;Proyecto inmobiliario
Torres Del Bosque;Departamentos; 174650;El Bosque, Cochapamba, Centro Norte;31/marzo/2020;83;2;Proyecto inmobiliario
Edificio Antalya: Departamentos. Dúplex;Departamentos; 211323;Quito Tenis, Centro Norte;31/marzo/2020;118;3;Proyecto inmobiliario
Torre Centre;Oficina / Consultorio; 184535;La Carolina, Iñaquito, Centro Norte;02/septiembre/2019;;;Proyecto inmobiliario
Torre Centre;Local; 383282;La Carolina, Iñaquito, Centro Norte;02/septiembre/2019;;;Proyecto inmobiliario
Vitoria II;Local; 183564;La Carolina, Iñaquito, Centro Norte;02/septiembre/2019;;;Proyecto inmobiliario
Zaigen;Oficina / Consultorio; 67104;El Batan, Iñaquito, Centro Norte;15/noviembre/2019;;;Proyecto inmobiliario
Calle Quiteño Libre Y Av. Ayarza 170516;Departamentos; 240000;Bellavista, Iñaquito, Centro Norte;27/marzo/2020;;;
Santa Lucai 6;Casa; 175000
            $80 alicuota;Ponceano, Norte De Quito;31/marzo/2020;;;
Casa Venta;Casa; 240000;La Concepcion, Concepción, Centro Norte;05/abril/2020;;;
Lote Venta;Lote; 1300000;Cumbaya, Valle Tumbaco;27/marzo/2020;;;
Departamentos Venta;Departamentos; 139000;Valle Tumbaco;16/marzo/2020;;;
Av .Interoceanica 24511;Casa; 980000
            $180 alicuota;Cumbaya, Valle Tumbaco;21/noviembre/2019;;;
Pasaje N82c Y Leonardo Freire 73;Casa; 200000;Carcelen, Norte De Quito;17/junio/2019;;;
Conjunto Terrazas De San José 57;Casa; 69900
            $25 alicuota;Carapungo, Calderón, Norte De Quito;12/septiembre/2019;;;
Casa Venta;Casa; 157000
            $70 alicuota;Tumbaco, Valle Tumbaco;21/febrero/2020;;;
Casa Venta;Casa; 215000
            $120 alicuota;Tumbaco, Valle Tumbaco;18/febrero/2020;;;
Departamentos Venta;Departamentos; 115000;Quito Tenis, Centro Norte;10/marzo/2020;;;
Marcos Jofre 984970485;Departamentos; 87000;Norte De Quito;05/noviembre/2019;;;
Casa Venta;Casa; 112000;Pomasqui, Norte De Quito;25/marzo/2020;;;
Casa En La Pampa, Venta, 5 Habitaciones;Penthouse; 340000;Pomasqui, Norte De Quito;06/abril/2020;500;5;
Casa Venta;Casa; 95999
            $72 alicuota;San Isidro Del Inca, Centro Norte;20/enero/2020;;;
Casa Venta;Casa; 92000;Pomasqui, Norte De Quito;20/enero/2020;;;
Venta Casa, Sector Colegio Alberto Einstein, Carcelen;Casa; 220000;Carcelen, Norte De Quito;12/04/2020;;;
Venta Departamento 3 Dormitorios, 120m2 Carcelén;Departamentos; 92000;Carcelen, Norte De Quito;11/abril/2020;;;
El Bosque, Unión Nacional Suite De Venta Con Balcòn;Departamentos; 79000;Iñaquito, Centro Norte;11/abril/2020;;;
Venta Departamento De 2 Dormitorios De 62m2 A Estrenar Norte De Quito;Departamentos; 75000;Cotocollao, Norte De Quito;10/abril/2020;;;
Vendo Departamento Amoblado Con Vista Al Mar. Tonsupa;Departamentos; 98000;Belisario Quevedo, Centro Norte;10/abril/2020;;;
Edificio Ecoeficiente De Suite 1 Dorm. Shyris;Departamentos; 96900;Iñaquito, Centro Norte;09/abril/2020;;;
Venta / Departamentos Sector Ruta Viva Cercano A Cumbaya Y Tumbaco;Departamentos; 149685;Cumbaya, Valle Tumbaco;08/abril/2020;;;
C/ Gonzalez Suarez, Suite De 69m2 En Venta, Terraza De 15,50m2;Departamentos; 243400;Gonzalez Suarez, Iñaquito, Centro Norte;07/abril/2020;;;
Casa En Pueblo Blanco 1;Casa; 83000;Calderón, Norte De Quito;07/abril/2020;;;
Excelente Departamento En Venta Centro Norte De Quito Calle Bosmediano Sector Bellavista;Departamentos; 440000;Bellavista, Iñaquito, Centro Norte;07/abril/2020;;;
Amplia Casa 6 Dorm., Sector Plaza Las Américas;Casa; 462000;Granda Centeno, Rumipamba, Centro Norte;06/abril/2020;;;
Vendo Departamento En Lomas De Monteserrín;Departamentos; 189000;Jipijapa, Centro Norte;06/abril/2020;;;
Venta, Hacienda En El Quinche,La Mejor Del Sector;Casa; 2626722;El Quinche, Valle Tumbaco;06/abril/2020;;;
Quito Departamento En Venta Gonzalez Suarez Semi Remodelado;Departamentos; 400000;Iñaquito, Centro Norte;05/abril/2020;;;
Casa Por Estrenar Chillos, Oferta Especial - Wasi;Casa; 128000;Conocoto, Valle Los Chillos;04/abril/2020;;;
2pa2cumbayá.La Primavera Ventadepart 113m 3 Dormitorios+Balcón7,64m;Departamentos; 199325;Cumbaya, Valle Tumbaco;04/abril/2020;;;
Hermosa Suite Por Estrenar Complejo Financiero Ekopark, Udla, Redondel Del Ciclista - Monteserrín;Departamentos; 125000;Iñaquito, Centro Norte;03/abril/2020;;;
Casa De Venta En El Sector De El Inca Cerca De De La Amazonas;Casa; 350000;Jipijapa, Centro Norte;03/abril/2020;;;
Vendo Departamento 2 Dorm Pinar Alto;Departamentos; 120000;El Pinar, Concepción, Centro Norte;02/abril/2020;;;
Casa Independiente Estilo Rustica, En Una Planta, De Venta Sector Conocoto;Casa; 140000;Conocoto, Valle Los Chillos;02/abril/2020;;;
Penthouse De Venta En Vista Grande. 3 Dormitorios, Terrazas, Vista Espectacular;Departamentos; 408000;Miravalle, Nayon - Tanda, Valle Tumbaco;01/abril/2020;;;
Lomas Moteserrin Oportunidad Departamento De Venta, Norte De Quito;Departamentos; 280000;Jipijapa, Centro Norte;01/abril/2020;;;
Vendo Departamento, Urbanización Amagasi Del Inca.;Departamentos; 158000;San Isidro Del Inca, Centro Norte;31/marzo/2020;;;
Departamento En Venta Sur De Quito, La Villaflora;Departamentos; 68000;La Magdalena, Sur De Quito;31/marzo/2020;;;
Venta Departamento 3 Dormitorios En Ponciano/ Norte De Quito;Departamentos; 60000;Ponceano, Norte De Quito;31/marzo/2020;;;
Se Vende Departamento 3 Habitaciones Sector Pomasqui;Departamentos; 59999;Pomasqui, Norte De Quito;30/marzo/2020;;;
Flamante Y Hermoso Departamento - Av. Occidental Y Legarda;Departamentos; 63806;Cochapamba, Centro Norte;30/marzo/2020;;;
Casa Una Sola Planta Con Hermosa Vista Al Valle - Viña Alta;Casa; 560000;Tumbaco, Valle Tumbaco;30/marzo/2020;;;
Departamento De Lujo Quiteño Libre Y Fernando Ayarza, Bellavista;Departamentos; 315000;Bellavista, Iñaquito, Centro Norte;30/marzo/2020;;;
Promoción San Valentin, Estrene Casa En San Camilo Al Norte De Quito;Casa; 125000;Calderón, Norte De Quito;30/marzo/2020;;;
